Date Added,OCLC No.,Title,Author,Imprint,Date,Aresenical Material,ID Method,Owner,# books
2023-12-04,21885840,Boys and Girls at Home,,London: John Farquhar Shaw,1858,bookcloth,XRF,University of Florida,1
2023-09-25,932843990,"Caroli a Linne Species Plantarum, Vol. 1, Pt. 1 & Pt. 2","von Linné, Carl",Berlin: G.C. Nauk,1797,textblock edges,XRF,Queen’s University Library,2
2023-09-25,932843990,"Caroli a Linne Species Plantarum, Vol. 2, Pt. 1 & Pt. 2","von Linné, Carl",Berlin: G.C. Nauk,1799,textblock edges,XRF,Queen’s University Library,2
2023-09-25,932843990,"Caroli a Linne Species Plantarum, Vol. 3, Pt. 1 & Pt. 2","von Linné, Carl",Berlin: G.C. Nauk,1800,textblock edges,XRF,Queen’s University Library,2
2023-09-25,932843990,"Caroli a Linne Species Plantarum, Vol. 4, Pt. 1 & Pt. 2","von Linné, Carl",Berlin: G.C. Nauk,1805,textblock edges,XRF,Queen’s University Library,2
2023-09-25,932843990,"Caroli a Linne Species Plantarum, Vol. 5","von Linné, Carl",Berlin: G.C. Nauk,1810,textblock edges,XRF,Queen’s University Library,1
2023-09-25,932843990,"Caroli a Linne Species Plantarum, Vol. 6","von Linné, Carl",Berlin: G.C. Nauk,1824,textblock edges,XRF,Queen’s University Library,1
2023-12-04,20377327,Charles Clifford,,Philadelphia : American Sunday-School Union,1834,paper spine label,XRF,University of Florida,1
2023-12-04,47806259,Children at church ,"J Erskine Clarke, MA",New York: Protestant Episcopal Society for the Promotion of Evangelical Knowledge,1860,bookcloth,XRF,University of Florida,1
2023-12-04,19984719,Christmas Box,,New York: Leavitt & Allen,[1865],bookcloth,XRF,University of Florida,1
2023-12-04,44155933,Clever Boys,"Millar, George.; Guizot, Madame (Elisabeth Charlotte Pauline)",Edinburgh: William and Robert Chambers,1848,paper cover,XRF,University of Florida,1
2022-11-16,ocm19912072,"Daughters of the Cross: or, Women’s ..","Eddy, Daniel C.",Dayton and Wentworth; Boston,1854,bookcloth,XRF,American Antiquarian Society,1
2023-02-28,3130425,Della vita di Antonio Canova. Libri quattro,"Missirini, Melchior","Prato, Frat. Giachetti",1824,textblock edges,XRF,Northwestern University,1
2023-12-04,166618473,Dissertazione Sulla patria de christoforo colombo ,Felice Isnardi,Pinerolo: tipi di Paulo Ghighetti,1838,marbled paper cover,XRF,University of Florida,1
2024-02-01,,Dream life: a fable of the seasons,"Marvel, lk.",New York: C. Scribner,1851,bookcloth,XRF,"Indiana University, Lilly Library",1
2023-12-04,45164253,Duty and Affection,Gustav Moritz,Edinburgh: Chambers Publishing,1850,paper cover,XRF,University of Florida,1
2020-02-06,,"Ellen; or, The Chained Mother","Harlan, Mary B.","Cincinnati. : Published for the author, by Applegate & Co.",1855,bookcloth,XRF,The Library Company,1
,,,,,,,,,
2020-02-06,,"Floral Souvenir, A Perennial Gift",,"Chambersburg, PA: Shryock, Reed & Co.",1841,bookcloth,XRF,The Library Company,1
2024-02-01,,"Florestine; ou, Religion dans l’infortune ","Logeais, Martin",Tours: Ad. Mame etCie,1850,bookcloth,XRF,"Indiana University, Lilly Library",1
2022-11-16,ocm46823560,Friendship’s Jewel: a gift of remembrance,,G.W.Cottrell,1851,bookcloth,XRF,American Antiquarian Society,1
2020-02-06,,Friendship’s Offering,,New York: Leavitt & Allen,1856,decorative green onlay,XRF,The Library Company,1
2023-02-28,26154615,Frühlings almanach,,Stuttgart: F. Brodhag’sche Buchhandlung,1835,paper cover,XRF,Northwestern University,1
2023-02-28,24245294,Geschichte der Theorie der Kunst bei den Alten ,"Müller, Eduard",Breslau : J. Max,1837,bookcloth,XRF,Northwestern University,1
2020-02-06,,Gift of Love,,Boston: J.Buffum,1850,bookcloth,XRF,The Library Company,1
2021-12-15,,Guadaloupe: A Tale of Love and War,One who served in the campaign of 1846-7,Philadelphia: Jas. B. Smith & Co.,1860,bookcloth,XRF,Athenaeum of Philadelphia,1
2023-12-04,49767082,Hints for Happy Hours,"Fourdrinier, Harriet E. (Harriet Elizabeth)",Edinburgh: W&R Chambers,1869,bookcloth,XRF,University of Florida,1
2023-09-25,2128751,Histoire de la Découverte et de la Conquête de l’Amérique,"Campe, Joachim Heinrich",Paris: Lavigne,1845,decorative paint on cover,XRF,Queen’s University Library,1
2023-12-04,5694386,History of England,Frederica Rowan,Edinburgh: W. and R. Chambers,1851,paper cover,XRF,University of Florida,1
2023-12-04,43172203,History of France,Leitch Ritchie,Edinburgh: Chambers Publishing,1849,paper cover,XRF,University of Florida,1
2023-12-04,47055405,Holiday Stories,,Halifax:  Milner and Sowerby,1837,bookcloth,XRF,University of Florida,1
2023-12-04,1611568,Hospital Sketches,Louisa May Alcott,Boston: James Redpath,1863,paper cover,XRF,University of Florida,1
2020-02-06,,Hoyle’s Games,,Philadelphia: Henry F. Anners,1845,bookcloth,XRF,The Library Company,1
2023-12-04,37890180,"Illustrious Women who have distinguished themselves for virtue, piety, and benevolence",,London: Jack Blackwood,[1862] [1868],paper cover,XRF,University of Florida,1
2023-02-28,39817175,Immergrun,,Wien,1842,paper covering,XRF,Northwestern University,1
2023-12-04,47096502,"Kenneth and Hugh, or Self Mastery",Catherine D. Bell,"Edinburgh : William P. Kennedy ; Glasgow : D. Bryce ; London : Hamilton, Adams, & Co. ; Dublin : M’Glashan and Gill : G. Herbert",1857,bookcloth,XRF,University of Florida,1
2020-02-06,,Leaflets of Memory,,New York: Leavitt & Allen,1855,bookcloth,XRF,The Library Company,1
2022-11-16,ocn317114374,Leaves of Affection,,Leavitt & Allen; NY,1862,decorative green onlay,XRF,American Antiquarian Society,1
2024-03-22,,Les Fleurs Animees,"Grandville, J.J.",Paris : G. de Gonet,184?,decorative green onlay,XRF,Winterthur Library,1
2024-03-22,,"Les Jeunes Filles, v.1-6",Motherlant,"Paris: Alexis Eymery, Libraire",1822,paper (cartonnage) cover,XRF,Allie Alvis,6
2023-09-25,,"Les Saints Lieux: Pèlerinage à Jérusalem, Vols. 1-3","Mislin, Jacques",Paris: Jacques Lecoffre,1858,decorative paint on cover,XRF,Queen’s University Library,3
2023-12-04,61328684,Little Lily’s Picture Book,,Edinburgh: Nelson and Sons,[1877?],paper cover,XRF,University of Florida,1
2023-12-04,704984553,Little Roberts first day at the Sunday school,American Sunday-School Union,Philadelphia: American Sunday School Union,Nd [1827-1853],paper spine,XRF,University of Florida,1
2020-02-06,,Macaulay’s Lays of Ancient Rome,"Macaulay, Thomas Babington",Philadelphia: E. H. Butler & Co.,1854,bookcloth,XRF,The Library Company,1
2024-05-04,,Map of the Isle of Wight: designed in a manner particularly convenient for strangers making the pleasure tour of the island,"Brannon, George",Wootton Common: G. Brannon,184-,Paper covering,XRF,"Hartley Library, University of Southampton",1
2022-11-16,ocn590009214,"Maria Cheeseman; or, Candy-Girl",,Am. Sunday School Union,1855,bookcloth,XRF,American Antiquarian Society,1
2024-03-22,,Marmion: A Tale of Flodden Field,"Scott, Sir Walter","Edinburgh: Adam & Charles Black, Northridge, Booksellers and Publishers to the Queen",1855,bookcloth,XRF,PBP Study Collection,1
2024-02-01,,Marshal Pelissier,,London: A.S. Petter…J. Blackwood,1855,bookcloth,XRF,"Indiana University, Lilly Library",1
2020-02-06,,Military Journal of Major Ebenezer Denny,,Philadelphia: J.B. Lippincott & Co.,1859,bookcloth,XRF,The Library Company,1
2020-02-06,,"Nellie Gray, or Ups and Downs of Everyday Life",,Philadelphia: American Sunday School Union,1855,bookcloth,XRF,The Library Company,1
2020-02-06,950940197,"Oasis, or Golden Leaves of Friendship, The","Ferguson, N.L., Ed.",Boston : Dayton and Wentworth,1855,bookcloth,XRF,"The Library Company, American Antiquarian Society",2
2021-12-15,,Ocean Gardens: The History of the Marine Aquarium,"Humphreys, H. Noel","London: Sampson Low, Son, and Co.",1857,bookcloth,XRF,Athenaeum of Philadelphia,1
2023-02-28,13811763,"Oeuvres de Massillon; avent, careme, petit careme, oraisons funebres","Massillon, Jean-Baptiste",Paris: Firmin Didot Frères,1838,textblock edges,XRF,Northwestern University,1
2020-02-06,,On Human Longevity and the Amount of Life Upon the Globe,"Flourens, P. (Pierre), 1794-1867.","London: New York: H. Bailliere, Publisher",1855,bookcloth,XRF,The Library Company,1
2022-11-16,12155384,"Our Happy Home: or, The Family Circle","Gould, Sarah","Higgins, Bradley & Dayton",1857,bookcloth,XRF,American Antiquarian Society; University of Florida,2
2024-03-22,,Peep Show La Fete du Bairam a Constantinople,,[Germany?],183?,cover and inner panels,XRF,Winterthur Library,1
2023-12-04,4352947,Pictures and Stories of Natural History,,New York : T. Nelson and Sons,1861 [1871?],paper cover,XRF,University of Florida,1
2023-12-04,61328683,Pictures for Daisy,,London: T. Nelson and Sons,[1877],paper cover,XRF,University of Florida,1
2023-12-04,16703500,Pictures of Comical People,,London:  C.S. Francis and Company,1858 [1856?],bookcloth,XRF,University of Florida,1
2023-12-04,9923910,Pierre and his family,"Grierson, Margaret",Edinburgh: William Oliphant and Sons,1851,bookcloth,XRF,University of Florida,1
2023-12-04,47720840,Pierre The Organ Boy,T.S. Arthur,Halifax:  Milner and Sowerby,1859,paper cover,XRF,University of Florida,1
2023-12-04,20726079,Pleasure Books for Young Children,Joseph Cundall,London: Joseph Cundall,1850,paper cover,XRF,University of Florida,1
2023-12-04,5592193,Poems for Children,Adelaide O’Keefe,London: Darton & Co.,1848,paper cover,XRF,University of Florida,1
